city,1990,2000,2010,2015,2020,district
Manila,1601234,1581082,1652171,1780148,1846513,1
Mandaluyong,248143,278474,328699,386276,425758,2
Marikina,310227,391170,424150,450741,456059,2
Pasig,397679,505058,669773,755300,803159,2
Quezon City,1669776,2173831,2761720,2936116,2960048,2
San Juan,126854,117680,121430,122180,126347,2
Caloocan,763415,1177604,1489040,1583978,1661584,3
Malabon,280027,338855,353337,365525,380522,3
Navotas,187479,230403,249131,249463,247543,3
Valenzuela,340227,485433,575356,620422,714978,3
Las Piñas,297102,472780,552573,588894,606293,4
Makati,453170,471379,529039,582602,629616,4
Muntinlupa,278411,379310,459941,504509,543445,4
Parañaque,308236,449811,588126,665822,689992,4
Pasay,368366,354908,392869,416522,440656,4
Pateros,51409,57407,64147,63840,65227,4
Taguig,266637,467375,644473,804915,886722,4
